iteration,best_reward_so_far,best_c5_upper_bound_so_far
1,2.5635394466468386,0.39008565897927794
2,2.6189414559896984,0.38183364944012665
3,2.6189414559896984,0.38183364944012665
4,2.6196982460257545,0.38172334364084864
5,2.6210730109082423,0.3815231279813737
6,2.6221004613363688,0.3813736309970899
7,2.6225136716720874,0.38131354073638585
8,2.6232267780838048,0.3812098832332768
9,2.623826385532077,0.3811227676022282
10,2.623826385532077,0.3811227676022282
11,2.623826385532077,0.3811227676022282
12,2.624290814510853,0.38105531910855844
13,2.6248810595742174,0.3809696329301106
14,2.6248810595742174,0.3809696329301106
15,2.6248810595742174,0.3809696329301106
16,2.625025998880914,0.3809485979095271
17,2.625025998880914,0.3809485979095271
18,2.6250582412991537,0.38094391888787693
19,2.6250582412991537,0.38094391888787693
20,2.6250582412991537,0.38094391888787693
21,2.6250582412991537,0.38094391888787693
22,2.6250582412991537,0.38094391888787693
23,2.6250582412991537,0.38094391888787693
24,2.6250582412991537,0.38094391888787693
25,2.6250582412991537,0.38094391888787693
