reef/step,perf/actor_train_tflops,perf/actor_train_time,perf/actor_train_tok_per_s,perf/data_preprocess_time,perf/save_model_time,perf/sleep_time,perf/step_time,perf/train_time,perf/train_wait_time,perf/update_weights_time,perf/wait_time_ratio,perf/wake_up_time,rollout/action_masks,rollout/advantages,rollout/kl,rollout/partition,rollout/response_lengths,rollout/returns,rollout/rewards,rollout/rollout_log_probs,rollout/step,rollout/total_lengths,rollout/truncated,rollout/values,train/entropy_loss,train/global_batch_size,train/grad_norm,train/loss,train/lr-pg_0,train/lr-pg_1,train/pg_clipfrac,train/pg_loss,train/ppo_kl,train/step,train/train_rollout_logprob_abs_diff
1,3.2123306047386078,2.7416484355926514,338.11774987831876,0.0012853145599365234,,12.01523756980896,184.19829773902893,2.934443950653076,181.26385378837585,9.122370481491089,0.9840691038588718,4.4080493450164795,1,0.5629607439041138,0,0,817,-0.24633605778217316,0,-0.2255120724439621,0,927,0,-0.8092967867851257,1.7645446062088013,1,14.545623037055952,0.1911211907863617,1e-06,1e-06,0.5397796630859375,0.1911211907863617,0.7378436326980591,0,0.8110910654067993
2,9.23831140546748,0.7425382137298584,977.7274577603421,0.0013484954833984375,42.109169006347656,35.05513262748718,177.31199073791504,0.8581058979034424,176.4538848400116,14.470820665359497,0.9951604745153879,10.731516361236572,1,0.48945707082748413,0,0,616,-0.20867414772510529,0,-0.2332785427570343,1,726,0,-0.6981312036514282,1.6401658058166504,1,16.19559138085983,0.2720591425895691,1e-06,1e-06,0.5746753215789795,0.2720591425895691,0.7461063861846924,1,0.846733570098877
3,23.492608685357432,0.3844287395477295,2471.1992165769148,0.001220703125,39.60655379295349,34.51035833358765,170.30507826805115,0.5192220211029053,169.78585624694824,14.46670126914978,0.996951224083373,10.724589347839355,1,0.6737284064292908,0,0,840,-0.21090741455554962,0,-0.32195085287094116,2,950,0,-0.884635865688324,1.919498085975647,1,11.895447804382854,0.18903009593486786,1e-06,1e-06,0.5428571701049805,0.18903009593486786,0.7335091233253479,2,0.8023296594619751
4,23.434721122423458,0.36501479148864746,2468.3931199758586,0.0012218952178955078,40.05280303955078,34.5216224193573,169.39945888519287,0.4965388774871826,168.9029200077057,14.704644441604614,0.997068828432187,10.817636489868164,1,0.6567770838737488,0,0,791,-0.23467899858951569,0,-0.3556782305240631,3,901,0,-0.891456127166748,1.8672996759414673,1,15.938020824823262,0.015618282370269299,1e-06,1e-06,0.5575221180915833,0.015618282370269299,0.7813519835472107,3,0.8466671109199524
5,20.49547384840572,0.37050294876098633,2164.625147200583,0.00138092041015625,40.15757632255554,34.57316017150879,169.66831922531128,0.4925663471221924,169.1757528781891,14.503916025161743,0.9970968867413127,10.754068851470947,1,0.5754491686820984,0,0,692,-0.22657625377178192,0,-0.2664554715156555,4,802,0,-0.8020254373550415,1.6859302520751953,1,13.208929936907266,0.27514153718948364,1e-06,1e-06,0.513005793094635,0.27514153718948364,0.7357429265975952,4,0.801049530506134
6,22.968057703915044,0.46913909912109375,2404.4041567058594,0.0012347698211669922,40.62812781333923,34.708054304122925,172.2719521522522,0.6197128295898438,171.65223932266235,14.437110424041748,0.9964027061756278,10.73024034500122,1,1.0202208757400513,0,0,1018,-0.36874523758888245,0,-0.24494127929210663,5,1128,0,-1.3889660835266113,1.5526312589645386,1,10.868661721536258,0.1723189651966095,1e-06,1e-06,0.47347739338874817,0.1723189651966095,0.6664134860038757,5,0.7257830500602722
7,22.62034806046487,0.3588297367095947,2385.5325031012444,0.001207590103149414,41.104732513427734,34.471529960632324,170.8507113456726,0.4804191589355469,170.37029218673706,14.553099632263184,0.997188076331953,10.817197322845459,1,0.8993405103683472,0,0,694,-0.3479909300804138,0,-0.33388569951057434,6,856,0,-1.2473315000534058,1.8420357704162598,1,19.637617392283186,0.09077106416225433,1e-06,1e-06,0.4827089309692383,0.09077106416225433,0.6844762563705444,6,0.7491678595542908
8,18.708405263301355,0.3584318161010742,1980.8509404192707,0.0012090206146240234,42.070245027542114,34.77537298202515,172.59159874916077,0.46724843978881836,172.12435030937195,14.468565464019775,0.9972927509613727,10.721050500869751,1,1.11933171749115,0,0,548,-0.4351058602333069,0,-0.23294904828071594,7,710,0,-1.554437518119812,1.3571516275405884,1,16.20263247352928,0.04190933331847191,1e-06,1e-06,0.40693432092666626,0.04190933331847191,0.5309160947799683,7,0.5786508321762085
9,19.757649127925472,0.35646843910217285,2089.9465935228677,0.0011930465698242188,41.68686556816101,34.90847563743591,172.6828351020813,0.46788620948791504,172.21494889259338,14.606887578964233,0.9972904880255682,10.845911502838135,1,1.8992105722427368,0,0,583,-0.7746127843856812,0,-0.1714629977941513,8,745,0,-2.673823118209839,1.4691358804702759,1,11.958872571388614,0.1634928435087204,1e-06,1e-06,0.3979416787624359,0.1634928435087204,0.5795432925224304,8,0.6003746390342712
10,25.126873719526607,0.3636956214904785,2642.319410010161,0.0012123584747314453,40.79409432411194,34.859875202178955,171.2876913547516,0.49507617950439453,170.7926151752472,14.60819411277771,0.9971096803536277,11.003488063812256,1,1.535552978515625,0,0,799,-0.5155822038650513,0,-0.1775176227092743,9,961,0,-2.051135301589966,1.333153247833252,1,10.383951025684231,0.11874653398990631,1e-06,1e-06,0.3917396664619446,0.11874653398990631,0.5217404365539551,9,0.5815994739532471
